id,altezza
http://www.wikidata.org/entity/Q131450087,
http://www.wikidata.org/entity/Q131450084,
http://www.wikidata.org/entity/Q131450085,
http://www.wikidata.org/entity/Q131450090,
http://www.wikidata.org/entity/Q131450089,
http://www.wikidata.org/entity/Q131450094,
http://www.wikidata.org/entity/Q131450095,
http://www.wikidata.org/entity/Q131450092,
http://www.wikidata.org/entity/Q131450093,
http://www.wikidata.org/entity/Q131450098,
http://www.wikidata.org/entity/Q131450099,
http://www.wikidata.org/entity/Q131450096,
http://www.wikidata.org/entity/Q131450103,
http://www.wikidata.org/entity/Q131450100,
http://www.wikidata.org/entity/Q131450107,
http://www.wikidata.org/entity/Q131450104,
http://www.wikidata.org/entity/Q131450111,
http://www.wikidata.org/entity/Q131450108,
http://www.wikidata.org/entity/Q131450109,
http://www.wikidata.org/entity/Q131450114,
http://www.wikidata.org/entity/Q131450115,
http://www.wikidata.org/entity/Q131450112,
http://www.wikidata.org/entity/Q131450118,
http://www.wikidata.org/entity/Q131450119,
http://www.wikidata.org/entity/Q131450116,
http://www.wikidata.org/entity/Q131450122,
http://www.wikidata.org/entity/Q131450123,
http://www.wikidata.org/entity/Q131450120,
http://www.wikidata.org/entity/Q131450126,
http://www.wikidata.org/entity/Q131450127,
http://www.wikidata.org/entity/Q131450124,
http://www.wikidata.org/entity/Q131450125,
http://www.wikidata.org/entity/Q131450134,
http://www.wikidata.org/entity/Q131450135,
http://www.wikidata.org/entity/Q131450132,
http://www.wikidata.org/entity/Q131450133,
http://www.wikidata.org/entity/Q131450138,
http://www.wikidata.org/entity/Q131450136,
http://www.wikidata.org/entity/Q131450142,
http://www.wikidata.org/entity/Q131450146,
http://www.wikidata.org/entity/Q131450144,
http://www.wikidata.org/entity/Q131450145,
http://www.wikidata.org/entity/Q131450151,
http://www.wikidata.org/entity/Q131450148,
http://www.wikidata.org/entity/Q131450149,
http://www.wikidata.org/entity/Q131450154,
http://www.wikidata.org/entity/Q131450152,
http://www.wikidata.org/entity/Q131450153,
http://www.wikidata.org/entity/Q131450161,
http://www.wikidata.org/entity/Q131501600,
http://www.wikidata.org/entity/Q131501606,
http://www.wikidata.org/entity/Q131501607,
